City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
335,Shaunavon,CA,49.6501,-108.4181,35.38,52,100,19.22,overcast clouds
336,Luderitz,NA,-26.6481,15.1594,68.04,60,0,23.35,clear sky
337,Darnah,LY,32.767,22.6367,62.71,62,100,24.61,overcast clouds
338,Naryan-Mar,RU,67.6713,53.087,5.4,85,66,15.37,broken clouds
339,Paamiut,GL,61.994,-49.6678,30.88,82,100,13.38,overcast clouds
340,Husavik,IS,66.0449,-17.3389,22.91,89,100,5.41,overcast clouds
341,Ramhormoz,IR,31.28,49.6035,64.47,39,77,1.61,broken clouds
342,Kloulklubed,PW,7.0419,134.2556,81.1,74,100,20.8,overcast clouds
343,Huarmey,PE,-10.0681,-78.1522,71.85,73,97,12.75,overcast clouds
344,Buala,SB,-8.145,159.5921,81.05,81,89,7.31,light rain
345,Balykshi,KZ,47.0667,51.8667,41.0,87,40,8.95,mist
